Date,Clicks,Impressions,CTR,Position
2025-11-22,0,2,0%,10
2025-11-23,0,0,,
2025-11-24,0,0,,
2025-11-25,0,0,,
2025-11-26,0,2,0%,10.5
2025-11-27,0,1,0%,8
2025-11-28,0,0,,
2025-11-29,0,2,0%,2
2025-11-30,0,1,0%,9
2025-12-01,0,0,,
2025-12-02,0,1,0%,10
2025-12-03,0,1,0%,5
2025-12-04,0,1,0%,11
2025-12-05,0,1,0%,4
2025-12-06,0,0,,
2025-12-07,0,1,0%,5
2025-12-08,0,1,0%,5
2025-12-09,0,0,,
2025-12-10,0,0,,
2025-12-11,0,0,,
2025-12-12,0,0,,
2025-12-13,0,0,,
2025-12-14,0,0,,
2025-12-15,0,5,0%,5.4
2025-12-16,0,1,0%,4
2025-12-17,0,6,0%,4.8
2025-12-18,0,1,0%,7
2025-12-19,0,6,0%,7
2025-12-20,0,0,,
2025-12-21,0,6,0%,5
2025-12-22,0,1,0%,88
2025-12-23,0,1,0%,5
2025-12-24,0,0,,
2025-12-25,0,1,0%,4
2025-12-26,0,2,0%,5
2025-12-27,0,0,,
2025-12-28,0,1,0%,5
2025-12-29,0,2,0%,44.5
2025-12-30,0,1,0%,7
2025-12-31,0,2,0%,6
2026-01-01,0,0,,
2026-01-02,0,2,0%,8
2026-01-03,0,2,0%,6.5
2026-01-04,0,1,0%,19
2026-01-05,0,3,0%,7
2026-01-06,0,0,,
2026-01-07,0,2,0%,5.5
2026-01-08,1,3,33.33%,6
2026-01-09,0,2,0%,6
2026-01-10,0,3,0%,6.7
2026-01-11,1,2,50%,12.5
2026-01-12,0,1,0%,1
2026-01-13,0,0,,
2026-01-14,0,0,,
2026-01-15,0,2,0%,6.5
2026-01-16,0,1,0%,10
2026-01-17,0,0,,
2026-01-18,0,2,0%,8.5
2026-01-19,0,5,0%,22.8
2026-01-20,0,31,0%,9.5
2026-01-21,0,57,0%,17.5
2026-01-22,0,49,0%,12.2
2026-01-23,0,18,0%,17.1
2026-01-24,0,8,0%,14.8
2026-01-25,0,13,0%,8.3
2026-01-26,0,19,0%,14.6
2026-01-27,0,23,0%,27.8
2026-01-28,0,47,0%,41.8
2026-01-29,0,43,0%,43.9
2026-01-30,0,45,0%,50.3
2026-01-31,0,48,0%,44.1
2026-02-01,0,67,0%,42.2
2026-02-02,0,47,0%,40.2
2026-02-03,0,70,0%,25.4
2026-02-04,1,106,0.94%,26.1
2026-02-05,2,142,1.41%,29.8
2026-02-06,0,128,0%,33.9
2026-02-07,0,88,0%,18.8
2026-02-08,0,57,0%,9.5
2026-02-09,2,74,2.7%,16.9
2026-02-10,1,194,0.52%,19.7
2026-02-11,1,144,0.69%,26.5
2026-02-12,0,132,0%,25.7
2026-02-13,2,91,2.2%,21.1
2026-02-14,0,88,0%,21.7
2026-02-15,1,113,0.88%,22.6
2026-02-16,2,150,1.33%,19.9
2026-02-17,1,132,0.76%,26.5
2026-02-18,0,165,0%,25.3
2026-02-19,1,91,1.1%,21.5
2026-02-20,0,133,0%,28.9
2026-02-21,0,162,0%,20.9
